n112xon111|8,8 8,6 7,8 7,6 
n81xn15on14xon13xnon12xno2n11xn3xn10on52|9,10 
n81xn15on14xon13xnon12xno2n11xnxnxn10on52|8,10 
n81xn15on14xon13xnon12xno2n11xoxnxn10on52|10,8 
n81xn15on14xon13xnoxn11xno2n11xoxnxn10on52|6,12 
n81xn15on14xon13xnoxn11xno2n11xoxnxn10on13on38|5,13 
n81xn15on14xon13xnoxn11xno2n11xoxnxn10on13on13xn24|8,9 
n81xn15on14xon13xnoxn11xo3n11xoxnxn10on13on13xn24|8,8 
n81xn15on14xon13x2oxn11xo3n11xoxnxn10on13on13xn24|11,9 
n81xn15on14xon13x2oxn11xo4n10xoxnxn10on13on13xn24|12,9 
n81xn15on14xon13x2oxn11xo4xn9xoxnxn10on13on13xn24|9,7 
n81xn15on14xo2n12x2oxn11xo4xn9xoxnxn10on13on13xn24|9,5 
n81xn2xn12on14xo2n12x2oxn11xo4xn9xoxnxn10on13on13xn24|10,7 
n81xn2xn12on14xo3n11x2oxn11xo4xn9xoxnxn10on13on13xn24|11,7 
n81xn2xn12on14xo3xn10x2oxn11xo4xn9xoxnxn10on13on13xn24|11,6 
n81xn2xn12on3on10xo3xn10x2oxn11xo4xn9xoxnxn10on13on13xn24|12,5 
n81xn2xn2xn9on3on10xo3xn10x2oxn11xo4xn9xoxnxn10on13on13xn24|8,11 
n81xn2xn2xn9on3on10xo3xn10x2oxn11xo4xn9xoxnxn10o2n12on13xn24|10,11 
n81xn2xn2xn9on3on10xo3xn10x2oxn11xo4xn9xoxnxn10o2nxn10on13xn24|8,13 
n81xn2xn2xn9on3on10xo3xn10x2oxn11xo4xn9xoxnxn10o2nxn10on13xn2on21|13,8 
n81xn2xn2xn9on3on10xo3xn10x2oxn2xn8xo4xn9xoxnxn10o2nxn10on13xn2on21|8,12 
n112xn27on84|8,8 8,7 7,8 7,6 6,7 6,6 
n96xn15xn27on84|4,4 8,8 
n64on31xn15xn27on84|5,5 
n64on15xn15xn15xn27on84|8,8 
n64on15xn15xn15xn15on11on84|7,5 
n64on15xnxn13xn15xn15on11on84|7,9 
n64on15xnxn13xn15xn15on11onon82|6,5 
n64on15x3n13xn15xn15on11onon82|4,5 
n64on14ox3n13xn15xn15on11onon82|8,5 
n64on14ox4n12xn15xn15on11onon82|9,5 
n64on14ox4on11xn15xn15on11onon82|6,4 
n64onxn12ox4on11xn15xn15on11onon82|6,8 
n64onxn12ox4on11xn15xn13onon11onon82|6,3 
n51xn12onxn12ox4on11xn15xn13onon11onon82|6,7 
n51xn12onxn12ox4on11xn14oxn13onon11onon82|6,2 
n112xn15xon95|9,9 
n112xn15xon14on80|9,7 
n112xnxn13xon14on80|8,7 
n112xoxn13xon14on80|7,9 
n112xoxn13xon12xnon80|6,10 10,6 
n112xoxn13xon12xnon11on68|10,6 
n100xn11xoxn13xon12xnon11on68|11,5 
n86on13xn11xoxn13xon12xnon11on68|7,8 
n86on13xn11xoxn12x2on12xnon11on68|7,6 
n86on10on2xn11xoxn12x2on12xnon11on68|7,10 
n86on10on2xn11xoxn12x2on12xnon11oxn67|7,11 
n86on10on2xn11xoxn12x2on12xnon11oxn14on52|6,5 5,4 
n65xn20on10on2xn11xoxn12x2on12xnon11oxn14on52|10,9 
n65xn20on10on2xn11xoxn12x2on12xno2n10oxn14on52|6,5 
n65xn15xn4on10on2xn11xoxn12x2on12xno2n10oxn14on52|11,10 
n98on13xn16xn95|7,6 8,7 9,7 
n98on13xon15xn95|8,8 
n98on13xon14x2n95|7,8 
n98on13xon13ox2n95|9,9 
n98on13xon13ox2n14xn80|9,6 
n98o2n12xon13ox2n14xn80|6,6 
n96xno2n12xon13ox2n14xn80|5,5 10,10 
n80on15xno2n12xon13ox2n14xn80|10,10 
n112xn44on67|8,8 8,7 8,6 6,8 6,7 6,6 
n96xn15xn44on67|4,4 5,5 8,8 9,9 
n96xn15xn31on12on67|8,8 5,5 
n96xn15xn15xn15on12on67|4,4 5,5 
n80on15xn15xn15xn15on12on67|8,6 6,8 
n80on15xnxn13xn15xn15on12on67|8,9 8,10 
n80on15xnxn13xn15xn14o2n12on67|6,8 
n80on15xnxn13xn13xnxn14o2n12on67|9,8 
n80on15xnxn13xn13xnxon13o2n12on67|9,5 5,9 
n80on15xnxn13xn13xnxon10xn2o2n12on67|4,10 
n80on15xnxn13xn13xnxon10xn2o2n9on2on67|9,5 
n95xn2on13xn112|7,5 8,7 9,7 
n95xn2on13xon111|8,8 
n95xn2on13xon14xn96|8,5 
n83on11xn2on13xon14xn96|8,4 
n68xn14on11xn2on13xon14xn96|7,6 
n68xn14on11xno2n13xon14xn96|6,6 
n68xn14on11x2o2n13xon14xn96|4,4 
n64on3xn14on11x2o2n13xon14xn96|9,9 
n64on3xn14on11x2o2n13xon14xn15xn80|5,5 
n64on3xn11on2on11x2o2n13xon14xn15xn80|10,10 
n112xn10on101|7,8 6,8 
n112xn10on2xn98|4,10 5,9 8,6 9,5 
n112xn10on2xn13on84|8,6 
n98xn13xn10on2xn13on84|9,5 10,4 
n84on13xn13xn10on2xn13on84|6,6 
n84on11xnxn13xn10on2xn13on84|4,9 
n84on11xnxn13xn10on2xn12o2n84|7,6 6,7 
n84on11x3n13xn10on2xn12o2n84|9,6 10,6 
n84on11x3non11xn10on2xn12o2n84|5,6 
n84on10x4non11xn10on2xn12o2n84|9,6 
n84on10x4o2n11xn10on2xn12o2n84|4,6 
n112xn73on38|6,8 
n112xn13xn59on38|4,10 
n112xn13xn27on31on38|8,6 5,9 
n98xn13xn13xn27on31on38|9,5 10,4 
n84on13xn13xn13xn27on31on38|6,6 
n84on11xnxn13xn13xn27on31on38|5,11 
n84on11xnxn13xn13xn27on15on15on38|8,8 7,6 6,7 
n84on11x3n13xn13xn27on15on15on38|3,9 
n84on11x3n13xn13xn11on15on15on15on38|7,13 
n84on11x3n13xn13xn11on15on15on15on15xn22|2,8 
n99on12xn28xn83|8,6 9,5 9,7 10,7 
n99on12xnon26xn83|9,5 6,8 
n84xn14on12xnon26xn83|8,6 
n84xn13o2n12xnon26xn83|7,5 
n82xnxn13o2n12xnon26xn83|7,6 
n82xnxn12o3n12xnon26xn83|6,6 
n82xnxn11xo3n12xnon26xn83|10,6 
n82xnxn11xo4n11xnon26xn83|11,6 
n82xnxn11xo4xn10xnon26xn83|8,8 
n82xnxn11xo4xn10xnon13on12xn83|11,5 
n82xnxnxn9xo4xn10xnon13on12xn83|7,9 
n82xnxnxn9xo4xn10xnon13on12xon82|6,10 
n82xnxnxn9xo4xn10xnon13on12xon13xn68|8,5 
n82xoxnxn9xo4xn10xnon13on12xon13xn68|6,7 
n82xoxnxn9xo4xn9x2non13on12xon13xn68|6,8 
n82xoxnxn9xo4xn9x2non11onon12xon13xn68|8,7 
n82xoxnxn9xo4xn9x3on11onon12xon13xn68|5,7 
n82xoxnxn9xo4xn8ox3on11onon12xon13xn68|8,10 
n82xoxnxn9xo4xn8ox3on11onon12xon13xnxn66|4,6 
n82xoxnxn7onxo4xn8ox3on11onon12xon13xnxn66|3,5 
n78xn3xoxnxn7onxo4xn8ox3on11onon12xon13xnxn66|7,8 10,7 
n78xn3xoxnxn7onxo4xn8ox3o2n10onon12xon13xnxn66|11,8 
n78xn3xoxnxn7onxo4xn8ox3o2n10onon2xn9xon13xnxn66|11,7 
n78xn3xoxnxn7onxo4xn8ox3o3n9onon2xn9xon13xnxn66|12,7 
n78xn3xoxnxn7onxo4xn8ox3o3xn8onon2xn9xon13xnxn66|7,4 
n67on10xn3xoxnxn7onxo4xn8ox3o3xn8onon2xn9xon13xnxn66|6,3 
n51xn15on10xn3xoxnxn7onxo4xn8ox3o3xn8onon2xn9xon13xnxn66|10,8 
n51xn15on10xn3xoxnxn7onxo4xn8ox3o3xn8ononoxn9xon13xnxn66|10,5 
n51xn15on10xn3xox3n7onxo4xn8ox3o3xn8ononoxn9xon13xnxn66|9,8 
n51xn15on10xn3xox3n7onxo4xn8ox3o3xn8ono3xn9xon13xnxn66|7,8 
n51xn15on10xn3xox3n7onxo4xn8ox3o3xn8oxo3xn9xon13xnxn66|9,9 
n51xn15on10xn3xox3n7onxo4xn8ox3o3xn8oxo3xn9xonon11xnxn66|9,10 
n51xn15on10xn3xox3n7onxo4xn8ox3o3xn8oxo3xn9xonon11xnx2n65|10,9 
n51xn15on10xn3xox3n7onxo4xn8ox3o3xn8oxo3xn9xono2n10xnx2n65|10,10 
n51xn15on10xn3xox3n7onxo4xn8ox3o3xn8oxo3xn9xono2n10xnx3n64|7,10 
n51xn15on10xn3xox3n7onxo4xn8ox3o3xn8oxo3xn9xono2n10xox3n64|8,9 
n51xn15on10xn3xox3n7onxo4xn8ox3o3xn8oxo3xn9xoxo2n10xox3n64|5,6 
n51xn15on10xn3xox3n7o2xo4xn8ox3o3xn8oxo3xn9xoxo2n10xox3n64|10,11 
n84on12xn14xn112|7,5 
n82onon12xn14xn112|8,5 
n82oxon12xn14xn112|9,4 
n69on12oxon12xn14xn112|6,7 
n69on12oxon12xn13x2n112|4,9 5,8 
n69on12oxon12xn13x2n26on85|8,7 
n69on12oxon12xn13x3n25on85|9,7 
n69on12oxon12xn13x3on24on85|9,6 
n69on12oxon12xnxn11x3on24on85|8,6 
n69on12oxon12xoxn11x3on24on85|5,7 
n69on12oxon12xoxn10x4on24on85|4,7 
n69on12oxon12xoxn9ox4on24on85|7,8 
n69on12oxon12xoxn9ox4on12xn11on85|10,8 
n69on12oxon12xoxn9ox4on12xn2on8on85|6,4 
n66xn2on12oxon12xoxn9ox4on12xn2on8on85|11,9 
n64on47xn112|8,7 8,6 7,8 7,6 6,8 6,7 
n64on33xn13xn112|5,9 6,8 9,5 10,4 
n64on33xn13xn13on98|9,5 
n64on19xn13xn13xn13on98|10,4 
n64on5on13xn13xn13xn13on98|9,7 7,5 
n64on5on13xn13xn13xnxn11on98|5,3 
n50on13on5on13xn13xn13xnxn11on98|9,6 8,7 
n50on13on5on13xn13x2n12xnxn11on98|9,4 
n50on13on4o2n13xn13x2n12xnxn11on98|9,8 
n50on13on4o2n13xn13x2n12xnxn11on2xn95|9,9 
n50on13on4o2n13xn13x2n12xnxn11on2xn14on80|8,7 
n50on13on4o2n13xn13x2n12x3n11on2xn14on80|5,7 6,7 
n50on13on4o2n13xn13x2n10onx3n11on2xn14on80|10,7 
n50on13on4o2n13xn13x2n10onx4n10on2xn14on80|6,7 
n50on13on4o2n13xn13x2n10o2x4n10on2xn14on80|11,7 
n112xn29on82|8,8 6,8 
n112xn15xn13on82|9,9 
n112xn15xn13onon80|8,9 
n112xn15xn13oxon80|8,10 
n112xn15xn13oxon13on66|8,7 
n112x2n14xn13oxon13on66|8,6 
n98on13x2n14xn13oxon13on66|9,7 6,7 
n98on13x3n13xn13oxon13on66|5,7 
n98on11onx3n13xn13oxon13on66|10,7 
n98on11onx4n12xn13oxon13on66|11,7 
n98on11onx4on11xn13oxon13on66|6,7 
n66xn45xon111|8,6 
n66xn31on13xon111|8,8 
n66xn31on13xon14xn96|8,5 
n66xn16on14on13xon14xn96|8,4 
n66xnxn14on14on13xon14xn96|7,6 
n66xnxn14on13o2n13xon14xn96|6,6 
n66xnxn14on12xo2n13xon14xn96|4,4 
n64onxnxn14on12xo2n13xon14xn96|9,9 
n64onxnxn14on12xo2n13xon14xn15xn80|5,5 
n64onxnxn11on2on12xo2n13xon14xn15xn80|10,10 
n112xn2xn12on96|7,8 7,9 8,9 9,8 
n112xn2xn12on14on81|8,7 
n112x2nxn12on14on81|9,7 
n112x2oxn12on14on81|6,7 
n111x3oxn12on14on81|4,7 5,7 
n109onx3oxn12on14on81|7,6 
n97xn11onx3oxn12on14on81|7,9 
n97xn11onx3oxn12on13o2n81|10,6 
n97xn2xn8onx3oxn12on13o2n81|6,10 
n97xn2xn8onx3oxn12on13o2n12on68|5,11 
n97xn2xn8onx3oxn12on13o2n12on13xn54|6,9 
n97xn2xn8onx3oxn12on12o3n12on13xn54|10,9 
n97xn2xn8onx3oxn12on12o3nxn10on13xn54|5,9 
