n112xon111|8,8 8,6 7,8 7,6 
n85on10ononxn11xo2xn12xnxn13oxn79|10,10 
n79xn32xon14on96|8,6 
n79xn18xn13xon12onon96|9,5 7,8 
n70on8xn4xn13xn13xon12onon96|7,8 
n70on8xn4xn12oxn13xon12oxon96|6,7 
n106xn5xon14on96|8,6 
n98xn7xn5xon12onon96|7,8 
n97oxn7xn5xon12oxon96|7,9 
n97oxn7xn5xon12oxon13xn14on67|8,9 
n97oxn7xn4oxon12oxon13x2n13on67|6,9 
n97oxn7xn4oxon12oxon12x3n11onon67|5,9 
n82on14xn14xon111|7,8 
n82on14xn14xon13xn14on82|6,7 
n82on14xn12ox2on13xn14on82|5,8 5,6 
n82o2n13xn12ox2on11xnxn14on82|4,9 
n82o2n13xn12ox2on11xnxn11xn2on10on71|6,8 
n82o2n13xn12ox2on11x3on10xn2on10on71|8,6 
n82o3n12x2n11ox2on11x3on10xn2on10on71|6,6 4,8 
n82o3n11x3on10ox2on11x3on10xn2on10on71|6,5 
n81xo4n10x3on10ox2on11x3on10xn2on10on71|6,4 
